R_fighter,B_fighter,date,location,Winner,title_bout,weight_class,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO_TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO_TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Adrian Yanez,Gustavo Lopez,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,0,1,1,1,0,0,0,0,0,1,0,Orthodox,165.1,170.18,135,0,1,0,1,0,0,0,0,0,1,0,0,Orthodox,170.18,177.8,135,31,27
Trevin Giles,Roman Dolidze,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Middleweight,0,2,0,2,0,0,0,1,0,1,0,0,Orthodox,187.96,193.04,205,0,2,0,4,2,0,0,1,0,3,0,0,Orthodox,182.88,187.96,185,32,28
Tai Tuivasa,Harry Hunsucker,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Heavyweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,241,0,3,0,4,3,0,0,0,1,3,0,0,Southpaw,187.96,190.5,264,32,28
Cheyanne Buys,Montserrat Conejo,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,WomenStrawweight,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,152.4,154.94,115,0,0,0,0,0,0,0,0,0,0,0,0,Switch,160.02,160.02,115,28,25
Marion Reneau,Macy Chiasson,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,WomenBantamweight,1,3,0,4,1,0,0,0,1,2,1,0,Orthodox,180.34,182.88,135,0,2,0,5,6,0,0,0,1,2,2,0,Orthodox,167.64000000000001,172.72,135,29,43
Leonardo Santos,Grant Dawson,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,Lightweight,0,4,0,4,0,0,0,0,2,0,2,0,Switch,177.8,182.88,145,1,1,0,7,1,0,0,1,2,2,2,0,Orthodox,182.88,190.5,155,27,41
Song Kenan,Max Griffin,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,Welterweight,0,0,1,4,6,0,1,0,1,2,0,0,Orthodox,180.34,193.04,170,0,2,0,4,1,0,0,0,1,3,0,0,Orthodox,182.88,180.34,170,35,31
Derek Brunson,Kevin Holland,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Middleweight,0,0,1,8,2,0,0,2,1,3,2,0,Orthodox,190.5,205.74,185,0,2,0,12,5,0,0,0,4,7,1,0,Southpaw,185.42,195.58,185,28,37
Montel Jackson,Jesse Strader,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,0,0,1,3,2,0,0,0,2,0,1,0,Southpaw,177.8,190.5,135,29,28
Bruno Silva,JP Buys,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Flyweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125,0,0,3,0,3,0,0,0,0,0,0,0,,182.88,,185,24,31
Manel Kape,Matheus Nicolau,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,Flyweight,0,3,0,3,1,0,0,1,1,0,1,0,Orthodox,167.64000000000001,167.64000000000001,125,0,0,1,0,1,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,28,27
Misha Cirkunov,Ryan Spann,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,LightHeavyweight,0,4,0,4,1,0,0,1,1,1,1,0,Orthodox,195.57999999999998,200.66,205,0,4,0,6,3,0,0,0,0,1,5,0,Orthodox,190.5,195.58,205,29,34
Leon Edwards,Belal Muhammad,2021-03-13,"Las Vegas, Nevada, USA",Draw,0,Welterweight,0,0,1,9,3,0,0,1,6,1,1,0,Orthodox,180.34,182.88,170,0,0,1,10,2,0,0,1,6,2,1,0,Southpaw,187.96,187.96,170,32,29
Charles Jourdain,Marcelo Rojo,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,145,0,0,1,1,3,0,0,0,0,1,0,0,Switch,175.26,175.26,145,32,25
Eryk Anders,Darren Stewart,2021-03-13,"Las Vegas, Nevada, USA",Draw,0,Middleweight,0,0,4,5,6,0,0,1,1,2,1,0,Orthodox,182.88,187.96,185,0,2,0,5,5,0,0,1,1,3,0,0,Southpaw,185.42,190.5,185,30,33
Angela Hill,Ashley Yoder,2021-03-13,"Las Vegas, Nevada, USA",Red,0,WomenStrawweight,0,0,3,3,5,0,0,1,2,0,0,0,Southpaw,170.18,175.26,115,0,1,0,7,9,0,0,0,5,1,0,1,Orthodox,160.02,162.56,115,33,36
Jonathan Martinez,Davey Grant,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,1,0,1,3,3,0,0,1,1,1,0,0,Orthodox,172.72,175.26,135,0,0,1,4,2,0,0,0,2,2,0,0,Southpaw,172.72,177.8,135,35,26
Dan Ige,Gavin Tucker,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,1,0,4,1,0,0,0,2,0,2,0,Southpaw,167.64000000000001,167.64000000000001,145,0,0,1,6,2,0,0,2,2,1,1,0,Orthodox,170.18,180.34,145,34,29
Nasrat Haqparast,Rafa Garcia,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Lightweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,155,0,0,1,4,2,0,0,0,3,1,0,0,Southpaw,177.8,182.88,155,26,25
Cortney Casey,JJ Aldrich,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,WomenFlyweight,0,0,1,4,3,0,0,0,4,0,0,0,Southpaw,165.1,170.18,125,0,0,2,5,7,0,0,1,1,1,2,0,Orthodox,170.18,170.18,125,28,33
Matthew Semelsberger,Jason Witt,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Welterweight,0,0,1,1,1,0,0,0,0,0,1,0,Orthodox,177.8,177.8,170,0,1,0,1,0,0,0,0,1,0,0,0,Switch,185.42,190.5,170,34,28
Rani Yahya,Ray Rodriguez,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,0,1,0,11,6,0,0,1,4,0,6,0,Orthodox,167.64000000000001,170.18,135,33,36
Gloria de Paula,Jinh Yu Frey,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,WomenStrawweight,0,0,2,0,2,0,0,0,0,0,0,0,Southpaw,160.02,165.1,115,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,115,35,25
Dominick Cruz,Casey Kenney,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,2,0,5,1,0,0,0,4,0,1,0,Southpaw,170.18,172.72,140,6,5,0,5,2,0,0,1,3,1,0,0,Orthodox,172.72,172.72,135,29,35
Song Yadong,Kyler Phillips,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,0,2,0,2,0,0,0,0,1,1,0,0,Orthodox,172.72,182.88,135,0,4,0,5,1,0,0,0,2,2,1,0,Orthodox,172.72,170.18,145,25,23
Petr Yan,Aljamain Sterling,2021-03-06,"Las Vegas, Nevada, USA",Blue,1,Bantamweight,0,4,0,11,3,0,0,0,6,1,4,0,Orthodox,170.18,180.34,135,1,7,0,7,0,0,0,0,3,4,0,0,Switch,170.18,170.18,135,31,28
Jan Blachowicz,Israel Adesanya,2021-03-06,"Las Vegas, Nevada, USA",Red,1,LightHeavyweight,4,9,0,9,0,0,0,1,4,4,0,0,Switch,193.04,203.2,185,1,1,0,10,5,0,0,1,3,4,2,0,Orthodox,187.96,198.12,205,31,38
Thiago Santos,Aleksandar Rakic,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,LightHeavyweight,0,4,0,5,1,0,0,0,3,2,0,0,Orthodox,193.04,198.12,205,1,0,1,13,7,0,0,0,2,11,0,0,Orthodox,187.96,193.04,205,29,37
Joseph Benavidez,Askar Askarov,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Flyweight,0,0,1,2,1,0,0,0,2,0,0,0,Orthodox,167.64000000000001,170.18,125,3,3,0,15,5,0,0,1,8,5,1,0,Southpaw,162.56,165.1,125,28,36
Amanda Nunes,Megan Anderson,2021-03-06,"Las Vegas, Nevada, USA",Red,1,WomenFeatherweight,0,0,1,3,2,0,0,0,0,2,1,0,Orthodox,182.88,182.88,145,8,2,0,13,1,0,0,1,3,7,2,0,Orthodox,172.72,175.26,145,31,32
Islam Makhachev,Drew Dober,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Lightweight,0,0,2,9,6,0,0,0,3,5,1,0,Southpaw,172.72,177.8,155,0,1,0,7,1,0,0,0,4,1,2,0,Southpaw,177.8,177.8,155,32,29
Tim Elliott,Jordan Espinosa,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Flyweight,0,1,0,2,3,0,0,0,2,0,0,0,Orthodox,167.64000000000001,175.26,125,1,0,1,5,9,0,0,0,4,0,1,0,Southpaw,170.18,167.64000000000001,125,31,34
Livinha Souza,Amanda Lemos,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,WomenStrawweight,0,0,1,2,1,0,0,0,1,0,1,0,Southpaw,162.56,165.1,115,0,2,0,3,1,0,0,1,1,0,1,0,Orthodox,160.02,160.02,115,33,29
Rogerio Bontorin,Kai Kara-France,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Flyweight,0,3,0,4,2,0,0,1,3,0,0,0,Orthodox,162.56,175.26,125,0,2,0,2,1,0,0,1,0,0,0,1,Orthodox,165.1,170.18,125,27,28
Uros Medic,Aalon Cruz,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Lightweight,0,0,1,0,1,0,0,0,0,0,0,0,Switch,182.88,198.12,145,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,180.34,155,31,27
Kennedy Nzechukwu,Carlos Ulberg,2021-03-06,"Las Vegas, Nevada, USA",Red,0,LightHeavyweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,195.58,205,0,0,1,1,1,0,0,0,1,0,0,0,Southpaw,195.57999999999998,210.82,205,30,28
Sean Brady,Jake Matthews,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Welterweight,0,2,0,10,4,0,0,1,4,0,4,1,Orthodox,180.34,185.42000000000002,170,0,3,0,3,0,0,0,0,2,0,1,0,Orthodox,177.8,182.88,170,26,28
Mario Bautista,Trevin Jones,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,0,0,1,0,1,0,0,0,0,0,0,0,Southpaw,170.18,177.8,140,0,0,1,2,1,0,0,0,1,1,0,0,Switch,175.26,175.26,135,30,27
